"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"THA",2001,36101.94358725054113812,18368307.09084493940896024
"THA",2002,60882.18973660286267583,31196734.5397143462198359
"THA",2003,58447.94220100085755110,29846481.3768019950148840
"THA",2004,91835.29433756412607383,47180332.1229989569836243
"THA",2005,84287.06004260738144383,45087304.9045197464506254
"THA",2006,99820.57963343648141290,52141287.1261605302877645
"THA",2007,92628.55864115548539600,48771115.1459637684748479
"THA",2008,80143.31797918728968650,43419770.8802322488679485
"THA",2009,132690.26703202261166455,72368501.5667689976070995
"THA",2010,134984.30930407901043297,74908217.2454522391050185
"THA",2011,94544.69378047275042543,51467507.204207131191802
"THA",2012,114508.12073492371270086,61289933.3008667795557134
"THA",2013,84754.41246115427434183,48720655.4979707979338965
"THA",2014,137614.63374225168308583,81405161.633913864448074
"THA",2015,120807.65603115829464302,72065916.594920152692238
"THA",2016,171638.61546868203581566,102640540.035303106874241
"THA",2017,196456.50627743819428775,123539796.901359530980571
"THA",2018,133532.58104158357281500,85636608.074085657444715
"THA",2019,129794.03169619886732073,81411761.726021242659123
"THA",2020,119414.18620691986254623,76504977.590551470525042
"THA",2021,122815.81153643851329891,87956667.689356208071063
"THA",2022,110663.32333475778450537,81909393.767762021683752
"THA",2023,141873.81247619525170307,106453510.020910881766988
